insee_code,name,postal_code,lat,lon
71582,La Vineuse sur Fregande,71250,46.468000,4.585100
88029,La Vôge-les-Bains,88240,48.017000,6.254300
07117,Lablachère,07230,44.461100,4.215900
81120,Labruguière,81290,43.502600,2.259100
32174,Ladevèze-Rivière,32230,43.551500,0.085500
55269,Lahaymeix,55260,48.933900,5.418600
61213,Lalacelle,61320,48.469400,-0.124900
22093,Lamballe-Armor,22400,48.485900,-2.520100
56101,Languidic,56440,47.829500,-3.148500
38205,Lans-en-Vercors,38250,45.125400,5.585800
06074,Lantosque,06450,43.978700,7.312100
46153,Lanzac,46200,44.869300,1.468100
63187,Lapeyrouse,63700,46.230800,2.881800
81136,Larroque,81140,44.013600,1.685200
37124,Larçay,37270,47.351500,0.777300
11197,Lauraguel,11300,43.096400,2.169800
15101,Laveissière,15300,45.098500,2.783700
33029,Le Barp,33114,44.629700,-0.743700
25062,Le Bizot,25210,47.137400,6.675200
74045,Le Bouchet-Mont-Charvin,74230,45.804100,6.384700
79046,Le Bourdet,79210,46.239100,-0.642200
56057,Le Faouët,56320,48.042500,-3.511100
04090,Le Fugeret,04240,44.018300,6.662700
04102,Le Lauzet-Ubaye,04340,44.425500,6.405200
37136,Le Louroux,37240,47.156900,0.767900
22046,Le Mené,22330,48.283700,-2.514400
51367,Le Mesnil-sur-Oger,51190,48.940400,4.018300
22157,Le Moustoir,22340,48.272900,-3.485500
83094,Le Plan-de-la-Tour,83120,43.337000,6.546200
33333,Le Porge,33680,44.864900,-1.135100
17426,Le Seure,17770,45.792100,-0.355100
39545,Le Vaudioux,39300,46.683200,5.926200
33544,Le Verdon-sur-Mer,33123,45.548100,-1.082600
86289,Le Vigeant,86150,46.219900,0.632400
44081,Legé,44650,46.902600,-1.571300
24237,Lembras,24100,44.892300,0.529500
39291,Lemuy,39110,46.892000,5.986100
10192,Lentilles,10330,48.489900,4.628200
90065,Lepuix,90200,47.785800,6.820000
09162,Lercoul,09220,42.710600,1.524900
37126,Lerné,37500,47.140700,0.110000
73015,Les Allues,73550,45.364400,6.592900
74085,Les Contamines-Montjoie,74170,45.785500,6.736200
50152,Les Cresnays,50370,48.710200,-1.113200
21371,Les Maillys,21130,47.142400,5.327900
28422,Les Villages Vovéens,28150,48.271400,1.599500
54312,Lesménils,54700,48.931700,6.111600
19112,Lestards,19170,45.542500,1.864600
21346,Leuglay,21290,47.816400,4.823500
15105,Leyvaux,43450,45.327200,3.086000
79148,Lezay,79120,46.269400,-0.028500
02430,Liesse-Notre-Dame,02350,49.611500,3.827100
71259,Ligny-en-Brionnais,71110,46.240700,4.203800
04104,Limans,04300,43.986000,5.718800
62519,Lisbourg,62134,50.509600,2.226900
19117,Lissac-sur-Couze,19600,45.111600,1.461900
38212,Livet-et-Gavet,38220,45.097700,5.910700
68185,Lièpvre,68660,48.263300,7.287400
66100,Llo,66800,42.435800,2.089500
56113,Locmalo,56160,48.062600,-3.182400
29135,Loctudy,29750,47.824600,-4.185200
22131,Loguivy-Plougras,22780,48.511000,-3.482400
76392,Londinières,76660,49.839900,1.398000
70307,Longevelle,70110,47.592600,6.449100
16190,Longré,16240,45.994600,-0.024800
62525,Longuenesse,62219,50.734800,2.248100
62526,Longueville,62142,50.728100,1.881100
08259,Longwé,08400,49.386200,4.797000
17208,Longèves,17230,46.240800,-0.975500
45186,Lorcy,45490,48.045900,2.531400
84068,Lourmarin,84160,43.778500,5.362500
14383,Louvigny,14111,49.153300,-0.395900
